, Maximo de coches calle maxima semaforo a la mitad    max_autos = 5000  longitud_total = 2000  posicion_semaforo = 1000.

ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,36720.85
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,834
TiempoPromedio,245.27
VelocidadPromedio,8.29
TiempoDetenidoPromedio,32.85
Eficiencia,82.9
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
441,3229.00,3361.95,3463.20,23.50,8.54
442,3234.00,3367.70,3468.90,30.20,8.51
443,3241.00,3370.90,3476.40,29.90,8.50
444,3259.00,3375.50,3480.10,0.00,9.05
445,3262.00,3390.75,3492.15,17.00,8.69
446,3265.00,3395.10,3496.30,13.40,8.65
447,3269.00,3401.40,3502.60,24.50,8.56
448,3277.00,3405.00,3506.25,16.70,8.72
449,3282.00,3411.55,3512.80,27.70,8.67
450,3302.00,3418.60,3522.50,0.40,9.07
451,3305.00,3434.25,3535.85,15.60,8.66
452,3310.00,3439.05,3540.25,21.80,8.69
453,3317.00,3443.20,3544.45,25.00,8.79
454,3322.00,3449.85,3551.10,20.40,8.73
455,3328.00,3454.90,3556.15,29.70,8.77
456,3347.00,3459.30,3564.80,0.00,9.18
457,3352.00,3465.40,3570.60,0.80,9.15
458,3358.00,3485.95,3587.20,28.30,8.73
459,3365.00,3491.50,3592.70,23.15,8.78
460,3371.00,3495.25,3596.45,28.60,8.87
461,3390.00,3502.50,3608.00,0.60,9.17
462,3394.00,3520.90,3623.30,24.50,8.72
463,3397.00,3526.30,3628.00,21.40,8.66
464,3402.00,3529.55,3634.90,15.15,8.59
465,3408.00,3536.60,3638.05,28.00,8.69
466,3412.00,3541.25,3642.50,27.60,8.68
467,3417.00,3565.55,3667.50,59.70,7.98
468,3439.00,3571.20,3672.50,28.20,8.57
469,3442.00,3574.75,3676.00,23.25,8.55
470,3449.00,3579.20,3680.45,26.20,8.64
471,3454.00,3584.40,3685.60,26.70,8.64
472,3460.00,3591.80,3697.35,23.20,8.43
473,3464.00,3609.50,3711.45,47.40,8.08
474,3484.00,3613.90,3715.30,19.60,8.65
475,3490.00,3620.90,3722.20,27.20,8.61
476,3494.00,3626.80,3728.00,26.05,8.55
477,3501.00,3631.50,3732.70,29.30,8.63
478,3522.00,3653.20,3755.40,25.70,8.57
479,3525.00,3658.20,3759.40,29.70,8.53
480,3529.00,3664.90,3766.10,24.80,8.44
481,3536.00,3670.75,3771.95,24.90,8.48
482,3542.00,3676.00,3777.25,21.50,8.50
483,3545.00,3679.30,3784.80,26.70,8.34
484,3565.00,3684.20,3789.45,0.60,8.91
485,3569.00,3698.25,3799.85,16.70,8.66
486,3575.00,3708.00,3809.20,29.70,8.54
487,3581.00,3714.65,3815.85,23.60,8.52
488,3586.00,3717.85,3819.10,19.40,8.58
489,3593.00,3721.65,3827.20,32.10,8.54
490,3611.00,3725.95,3831.20,0.00,9.08
